InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
540416,20846,ZINC HEART LATTICE T-LIGHT HOLDER,12,1/7/2011 10:55,1.25,16473.0,United Kingdom
554156,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,5/23/2011 11:28,2.55,13798.0,United Kingdom
571745,23568,EGG CUP HENRIETTA HEN CREAM ,12,10/19/2011 10:48,1.25,14911.0,EIRE
559900,84949,SILVER HANGING T-LIGHT HOLDER,96,7/13/2011 12:27,1.45,13089.0,United Kingdom
570872,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,1,10/12/2011 16:40,1.25,,United Kingdom
574240,23333,IVORY WICKER HEART MEDIUM,6,11/3/2011 12:45,1.25,15998.0,United Kingdom
578350,22621,TRADITIONAL KNITTING NANCY,12,11/24/2011 9:51,1.65,15632.0,United Kingdom
570592,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,4,10/11/2011 11:37,3.29,,United Kingdom
547729,22659,LUNCH BOX I LOVE LONDON,6,3/25/2011 10:52,1.95,15529.0,United Kingdom
571713,21471,STRAWBERRY RAFFIA FOOD COVER,1,10/18/2011 16:58,3.29,,United Kingdom
563533,22662,LUNCH BAG DOLLY GIRL DESIGN,2,8/17/2011 11:14,1.65,16241.0,United Kingdom
555527,21621,VINTAGE UNION JACK BUNTING,20,6/5/2011 11:44,8.5,14364.0,United Kingdom
540531,20718,RED RETROSPOT SHOPPER BAG,1,1/9/2011 14:03,1.25,16549.0,United Kingdom
558232,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,1,6/27/2011 14:30,1.25,17841.0,United Kingdom
557296,21213,PACK OF 72 SKULL CAKE CASES,2,6/19/2011 13:51,0.55,15334.0,United Kingdom
540278,22189,CREAM HEART CARD HOLDER,3,1/6/2011 12:31,3.95,15719.0,United Kingdom
566581,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,5,9/13/2011 13:47,0.85,16081.0,United Kingdom
563098,23320,GIANT 50'S CHRISTMAS CRACKER,48,8/12/2011 9:14,2.49,14911.0,EIRE
536864,21700,BIG DOUGHNUT FRIDGE MAGNETS,1,12/3/2010 11:27,8.47,,United Kingdom
546275,22969,HOMEMADE JAM SCENTED CANDLES,12,3/10/2011 15:06,1.45,13126.0,United Kingdom
567818,22614,PACK OF 12 SPACEBOY TISSUES,12,9/22/2011 12:41,0.39,14395.0,United Kingdom
556080,23298,SPOTTY BUNTING,12,6/8/2011 15:21,10.79,,United Kingdom
569544,23378,PACK OF 12 50'S CHRISTMAS TISSUES,3,10/4/2011 16:33,0.83,,United Kingdom
578942,23186,FRENCH STYLE STORAGE JAR CAFE ,18,11/27/2011 13:29,0.29,17288.0,United Kingdom
552310,21124,SET/10 BLUE POLKADOT PARTY CANDLES,3,5/8/2011 15:22,1.25,17323.0,United Kingdom
568086,22562,MONSTERS STENCIL CRAFT,24,9/23/2011 14:39,1.25,14944.0,United Kingdom
553207,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,5/16/2011 9:02,1.25,17001.0,United Kingdom
544796,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2/23/2011 13:37,6.95,16208.0,United Kingdom
553523,20719,WOODLAND CHARLOTTE BAG,23,5/17/2011 14:46,2.46,,United Kingdom
547906,22241,GARLAND WOODEN HAPPY EASTER,2,3/28/2011 12:13,1.25,14410.0,United Kingdom
570883,22969,HOMEMADE JAM SCENTED CANDLES,12,10/13/2011 9:55,1.45,13477.0,United Kingdom
541592,22196,SMALL HEART MEASURING SPOONS,2,1/19/2011 15:08,1.63,,United Kingdom
550541,22224,WHITE LOVEBIRD LANTERN,15,4/19/2011 11:33,2.95,,United Kingdom
546888,21508,VINTAGE KID DOLLY CARD ,1,3/17/2011 18:15,0.83,,United Kingdom
579106,23366,SET 12 COLOURING PENCILS DOILY,24,11/28/2011 11:42,0.65,16705.0,United Kingdom
C569996,23112,PARISIENNE CURIO CABINET,-2,10/6/2011 20:38,7.5,15322.0,United Kingdom
574965,23349,ROLL WRAP VINTAGE CHRISTMAS,1,11/8/2011 10:44,1.25,17964.0,United Kingdom
569322,23438,GIFT BAG LARGE SPOT ,24,10/3/2011 12:31,1.25,16912.0,United Kingdom
558760,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,3,7/3/2011 12:38,2.08,16918.0,United Kingdom
